序号,车型,车数,天数,目的地,距离_km,行驶费,时间费,单次总费
406,7.6,1,2,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,2364.2,5067.08
407,7.6,1,2,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,2364.2,5067.08
408,7.6,1,2,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,2364.2,5067.08
409,7.6,1,2,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,2364.2,5067.08
410,7.6,1,1,江西省南昌市南莲路46,782.65,1878.36,1182.1,3060.46
411,7.6,1,1,江西省南昌市南莲路46,782.65,1878.36,1182.1,3060.46
412,7.6,1,1,江西省南昌市南莲路46,782.65,1878.36,1182.1,3060.46
413,7.6,1,2,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,2364.2,4988.79
414,7.6,1,2,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,2364.2,4988.79
415,7.6,1,2,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,2364.2,4988.79
416,7.6,1,2,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,2364.2,4988.79
417,7.6,1,2,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,2364.2,4988.79
418,7.6,1,2,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,2364.2,4988.79
419,7.6,1,2,北京市北京经济技术开发区康定街,1080.0,2592.0,2364.2,4956.2
420,7.6,1,2,廊坊市开发区全兴路2,1040.78,2497.87,2364.2,4862.07
421,7.6,1,2,廊坊市开发区全兴路2,1040.78,2497.87,2364.2,4862.07
422,7.6,1,2,北京市顺义区机场北街10号院6幢（航港物流园区B1仓库）,1113.3,2671.92,2364.2,5036.12
423,7.6,1,3,银川市金凤区开发区路楼3层,1777.96,4267.1,3546.3,7813.41
424,7.6,1,2,呼和浩特市和林县盛乐园区盛乐北六街,1546.0,3710.4,2364.2,6074.6
425,7.6,1,2,呼和浩特市和林县盛乐园区盛乐北六街,1546.0,3710.4,2364.2,6074.6
426,7.6,3,1,西安国际港务区港务大道8,1280.72,3073.73,1182.1,12767.49
427,7.6,1,1,西安国际港务区港务大道8,1280.72,3073.73,1182.1,4255.83
428,7.6,1,1,西安国际港务区港务大道8,1280.72,3073.73,1182.1,4255.83
429,7.6,1,1,西安国际港务区港务大道8,1280.72,3073.73,1182.1,4255.83
430,7.6,1,1,西安国际港务区港务大道8,1280.72,3073.73,1182.1,4255.83
431,7.6,1,1,西安国际港务区港务大道8,1280.72,3073.73,1182.1,4255.83
432,7.6,1,1,西安国际港务区港务大道8,1280.72,3073.73,1182.1,4255.83
433,7.6,1,1,西安国际港务区港务大道8,1280.72,3073.73,1182.1,4255.83
434,7.6,1,2,西安市三桥镇建章路18库、库,1300.58,3121.39,2364.2,5485.59
435,7.6,1,1,太原市五龙口南街东华苑桐荫A段,1209.56,2902.94,1182.1,4085.04
436,7.6,1,1,郑州市经济技术开发区花马东街12普洛斯郑州物流园,823.53,1976.47,1182.1,3158.57
437,7.6,1,1,郑州市经济技术开发区花马东街12普洛斯郑州物流园,823.53,1976.47,1182.1,3158.57
438,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
439,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
440,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
441,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
442,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
443,7.6,3,1,上海市康宁路108,119.27,286.25,1182.1,4405.05
444,7.6,1,1,上海市康宁路108,119.27,286.25,1182.1,1468.35
445,7.6,1,1,上海市康宁路108,119.27,286.25,1182.1,1468.35
446,7.6,1,1,上海市康宁路108,119.27,286.25,1182.1,1468.35
447,7.6,2,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,3514.57
448,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
449,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
450,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
451,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
452,7.6,1,2,北京市北京经济技术开发区康定街,1080.0,2592.0,2364.2,4956.2
453,7.6,1,2,北京市北京经济技术开发区康定街,1080.0,2592.0,2364.2,4956.2
454,7.6,1,2,北京市朝阳区黑庄户大东路1,1080.89,2594.14,2364.2,4958.34
455,7.6,1,2,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,2364.2,4988.79
456,7.6,1,2,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,2364.2,4988.79
457,7.6,1,2,北京市大兴区大兴经济开发区广平大街,1093.58,2624.59,2364.2,4988.79
458,7.6,3,1,天津市空港物流加工区东八道5,970.71,2329.7,1182.1,10535.41
459,7.6,1,1,天津市空港物流加工区东八道5,970.71,2329.7,1182.1,3511.8
460,7.6,1,1,天津市空港物流加工区东八道5,970.71,2329.7,1182.1,3511.8
461,7.6,1,1,天津市空港物流加工区东八道5,970.71,2329.7,1182.1,3511.8
462,7.6,1,1,扬州市运河北路10,157.97,379.13,1182.1,1561.23
463,7.6,1,1,扬州市运河北路10,157.97,379.13,1182.1,1561.23
464,7.6,1,1,扬州市运河北路10,157.97,379.13,1182.1,1561.23
465,7.6,1,1,宁波市江北区金山路36,277.0,664.8,1182.1,1846.9
466,7.6,1,1,慈溪市古塘街道科技路56,248.35,596.04,1182.1,1778.14
467,7.6,1,1,青岛市市北区开封路8楼1、2层,594.27,1426.25,1182.1,2608.35
468,7.6,1,1,青岛市市北区开封路8楼1、2层,594.27,1426.25,1182.1,2608.35
469,7.6,1,1,青岛市市北区开封路8楼1、2层,594.27,1426.25,1182.1,2608.35
470,7.6,1,1,青岛市市北区开封路8楼1、2层,594.27,1426.25,1182.1,2608.35
471,7.6,1,1,青岛市市北区开封路8楼1、2层,594.27,1426.25,1182.1,2608.35
472,7.6,1,1,青岛市李沧区广水路61一楼、二楼、四楼,607.98,1459.15,1182.1,2641.25
473,7.6,1,1,青岛市李沧区广水路61一楼、二楼、四楼,607.98,1459.15,1182.1,2641.25
474,7.6,1,1,正定县107国道东侧,768.24,1843.78,1182.1,3025.88
475,7.6,1,1,正定县107国道东侧,768.24,1843.78,1182.1,3025.88
476,7.6,1,1,正定县107国道东侧,768.24,1843.78,1182.1,3025.88
477,7.6,1,1,南昌市高新开发区高新五路66创力大厦1-2层,772.76,1854.62,1182.1,3036.72
478,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
479,7.6,1,2,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,2364.2,5304.2
480,7.6,1,1,上海市绥德路9,140.68,337.63,1182.1,1519.73
481,7.6,1,1,上海市绥德路9,140.68,337.63,1182.1,1519.73
482,7.6,1,1,上海市绥德路9,140.68,337.63,1182.1,1519.73
483,7.6,1,1,上海市绥德路9,140.68,337.63,1182.1,1519.73
484,7.6,1,1,金豫路82,173.52,416.45,1182.1,1598.55
485,7.6,1,1,府村路25楼411、412、422、423库房,145.0,348.0,1182.1,1530.1
486,7.6,1,1,郑州市经济技术开发区经北三路10,823.64,1976.74,1182.1,3158.84
487,7.6,1,1,郑州市经济技术开发区经北三路10,823.64,1976.74,1182.1,3158.84
488,7.6,2,2,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,2364.2,11150.61
489,7.6,1,2,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,2364.2,5575.3
490,7.6,1,2,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,2364.2,5575.3
491,7.6,1,2,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,2364.2,5575.3
492,7.6,1,2,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,2364.2,5575.3
493,7.6,1,2,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,2364.2,5575.3
494,7.6,1,2,沈阳市和平区族昌路3-（一楼）,1562.49,3749.98,2364.2,6114.18
495,7.6,1,2,沈阳市和平区族昌路3-（一楼）,1562.49,3749.98,2364.2,6114.18
496,7.6,1,2,吉林市船营区新生街7,1954.66,4691.18,2364.2,7055.38
497,7.6,1,2,吉林市船营区新生街7,1954.66,4691.18,2364.2,7055.38
498,7.6,1,2,长春市火炬路一、三、四层,1845.43,4429.03,2364.2,6793.23
499,7.6,1,2,长春市火炬路一、三、四层,1845.43,4429.03,2364.2,6793.23
500,7.6,1,3,哈尔滨市道里区安道街51-2单元地下室,2102.08,5044.99,3546.3,8591.29
501,7.6,1,2,哈尔滨市呼兰利民开发区珠海路南侧,2123.68,5096.83,2364.2,7461.03
502,7.6,1,2,哈尔滨市呼兰利民开发区珠海路南侧,2123.68,5096.83,2364.2,7461.03
503,7.6,1,2,哈尔滨市松北区浦川路133一层（含冷库）、二层,2121.23,5090.95,2364.2,7455.15
504,7.6,1,2,哈尔滨市哈南工业新城春晖路,2084.27,5002.25,2364.2,7366.45
505,7.6,1,2,哈尔滨市利民开发区益盛路8三层A区、B区,2124.62,5099.09,2364.2,7463.29
506,7.6,1,2,哈尔滨市松北区松北大道8,2120.18,5088.43,2364.2,7452.63
507,7.6,1,2,浙江省温岭市太平街道太平南路190号,482.6,1158.24,2364.2,3522.44
508,7.6,1,2,浙江省温州经济开发区滨海十九路42,576.56,1383.74,2364.2,3747.94
509,7.6,1,2,浙江省临海市汇丰南路29,423.18,1015.63,2364.2,3379.83
510,7.6,1,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,1747.08
511,7.6,1,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,1747.08
512,7.6,1,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,1747.08
513,7.6,1,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,1747.08
514,7.6,1,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,1747.08
515,7.6,1,2,衢州市中粮路3,468.35,1124.04,2364.2,3488.24
516,7.6,1,2,苏州市工业园区复兴街8,97.7,234.48,2364.2,2598.68
517,7.6,1,2,苏州市工业园区复兴街8,97.7,234.48,2364.2,2598.68
518,7.6,1,1,烟台市机场路32,781.47,1875.53,1182.1,3057.63
519,7.6,1,1,烟台市机场路32,781.47,1875.53,1182.1,3057.63
520,9.6,1,2,南京市江宁区开源路28,232.49,697.47,2365.49,3062.96
521,9.6,1,2,南京市江宁区开源路28,232.49,697.47,2365.49,3062.96
522,9.6,1,2,南京市浦口区浦东北路,243.53,730.59,2365.49,3096.08
523,9.6,1,2,南京市浦口区浦东北路,243.53,730.59,2365.49,3096.08
524,7.6,2,2,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,2364.2,5904.16
525,7.6,1,2,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,2364.2,2952.08
526,7.6,1,2,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,2364.2,2952.08
527,7.6,1,2,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,2364.2,2952.08
528,7.6,1,2,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,2364.2,2952.08
529,9.6,1,4,乌鲁木齐市高新区（新市区）西彩路58,3804.51,11413.53,4730.99,16144.52
530,9.6,1,4,乌鲁木齐市高新区（新市区）西彩路58,3804.51,11413.53,4730.99,16144.52
531,7.6,2,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,7654.52
532,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
533,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
534,7.6,1,1,郑州市商都路与明理路交叉口西南角,822.29,1973.5,1182.1,3155.6
535,7.6,1,1,郑州市商都路与明理路交叉口西南角,822.29,1973.5,1182.1,3155.6
536,7.6,1,1,郑州市商都路与明理路交叉口西南角,822.29,1973.5,1182.1,3155.6
537,7.6,1,1,郑州经济技术开发区第九大街8,822.57,1974.17,1182.1,3156.27
538,7.6,1,1,郑州经济技术开发区第九大街8,822.57,1974.17,1182.1,3156.27
539,7.6,1,1,郑州经济技术开发区第九大街8,822.57,1974.17,1182.1,3156.27
540,7.6,1,1,郑州经济技术开发区第九大街8,822.57,1974.17,1182.1,3156.27
541,7.6,1,1,江西省南昌市高新技术产业开发区火炬大街62综合办公大楼东面1-3楼,774.06,1857.74,1182.1,3039.84
542,7.6,1,1,江西省南昌市高新技术产业开发区火炬大街62综合办公大楼东面1-3楼,774.06,1857.74,1182.1,3039.84
543,7.6,2,2,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,2364.2,11150.61
544,7.6,1,2,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,2364.2,5575.3
545,7.6,1,2,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,2364.2,5575.3
546,7.6,1,6,乌鲁木齐市高新区（新市区）西彩路58（委托储存配送药品仓库）,3804.51,9130.82,7092.6,16223.43
547,7.6,1,6,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,7092.6,16223.43
548,7.6,1,6,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,7092.6,16223.43
549,7.6,1,2,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,2364.2,5067.08
550,7.6,1,2,正定县107国道东侧,768.24,1843.78,2364.2,4207.98
551,7.6,1,2,正定县107国道东侧,768.24,1843.78,2364.2,4207.98
552,7.6,1,2,正定县107国道东侧,768.24,1843.78,2364.2,4207.98
553,7.6,1,2,正定县107国道东侧,768.24,1843.78,2364.2,4207.98
554,7.6,1,2,正定县107国道东侧,768.24,1843.78,2364.2,4207.98
555,7.6,1,2,正定县107国道东侧,768.24,1843.78,2364.2,4207.98
556,9.6,1,3,长春市高新开发区超强街77,1838.37,5515.11,3548.24,9063.35
557,9.6,1,3,长春市高新开发区超强街77,1838.37,5515.11,3548.24,9063.35
558,7.6,1,3,长春市高新开发区越达路127,1839.88,4415.71,3546.3,7962.01
559,7.6,1,3,长春市高新开发区越达路127,1839.88,4415.71,3546.3,7962.01
560,7.6,1,3,长春市高新开发区越达路127,1839.88,4415.71,3546.3,7962.01
561,7.6,1,1,沈阳市铁西区兴华南街5（1层部分、2层、3-4层部分）,1554.27,3730.25,1182.1,4912.35
562,7.6,1,1,沈阳市铁西区兴华南街5（1层部分、2层、3-4层部分）,1554.27,3730.25,1182.1,4912.35
563,7.6,1,1,沈阳市铁西区兴华南街5（1层部分、2层、3-4层部分）,1554.27,3730.25,1182.1,4912.35
564,7.6,1,3,沈阳市于洪区银岭路6-3、6-,1540.93,3698.23,3546.3,7244.53
565,7.6,1,3,沈阳市于洪区银岭路6-3、6-,1540.93,3698.23,3546.3,7244.53
566,7.6,1,3,沈阳市于洪区银岭路6-3、6-,1540.93,3698.23,3546.3,7244.53
567,7.6,1,3,沈阳市于洪区银岭路6-3、6-,1540.93,3698.23,3546.3,7244.53
568,7.6,1,3,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,3546.3,6692.05
569,7.6,1,3,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,3546.3,6692.05
570,7.6,1,3,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,3546.3,6692.05
571,7.6,1,3,沈阳市苏家屯区雪莲街158-,1310.73,3145.75,3546.3,6692.05
572,7.6,1,3,盘锦市兴隆台区环城东路西工业园厂房,1437.37,3449.69,3546.3,6995.99
573,7.6,1,3,盘锦市兴隆台区环城东路西工业园厂房,1437.37,3449.69,3546.3,6995.99
574,7.6,1,2,大连市沙河口区中长街收获巷24-,958.25,2299.8,2364.2,4664.0
575,7.6,1,2,大连市沙河口区中长街收获巷24-,958.25,2299.8,2364.2,4664.0
576,7.6,1,2,大连市中山区虎滩路21,958.38,2300.11,2364.2,4664.31
577,7.6,1,2,大连市中山区虎滩路21,958.38,2300.11,2364.2,4664.31
578,7.6,2,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,30082.65
579,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
580,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
581,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
582,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
583,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
584,7.6,1,1,天津市北辰区科技园区泾河道,986.7,2368.08,1182.1,3550.18
585,7.6,1,1,天津市北辰区科技园区泾河道,986.7,2368.08,1182.1,3550.18
586,7.6,1,1,天津市北辰区科技园区泾河道,986.7,2368.08,1182.1,3550.18
587,7.6,2,2,天津市空港物流加工区东八道5,970.71,2329.7,2364.2,9387.81
588,7.6,1,2,天津市空港物流加工区东八道5,970.71,2329.7,2364.2,4693.9
589,7.6,1,2,天津市空港物流加工区东八道5,970.71,2329.7,2364.2,4693.9
590,7.6,1,2,天津市空港物流加工区东八道5,970.71,2329.7,2364.2,4693.9
591,7.6,1,1,郑州市货站街14,825.16,1980.38,1182.1,3162.48
592,7.6,1,1,郑州市货站街14,825.16,1980.38,1182.1,3162.48
593,9.6,1,1,杭州市萧山区萧山经济技术开发区红垦农场垦辉五路库,251.38,754.14,1182.75,1936.89
594,9.6,1,1,杭州市萧山区萧山经济技术开发区红垦农场垦辉五路库,251.38,754.14,1182.75,1936.89
595,9.6,1,1,济南市槐荫区美里路108,741.7,2225.1,1182.75,3407.85
596,9.6,1,1,济南市槐荫区美里路108,741.7,2225.1,1182.75,3407.85
597,7.6,1,1,潍坊市健康东街甲19,620.52,1489.25,1182.1,2671.35
598,7.6,1,1,潍坊市健康东街甲19,620.52,1489.25,1182.1,2671.35
599,7.6,1,1,聊城市经济开发区物流园区瑞泰路,798.53,1916.47,1182.1,3098.57
600,7.6,1,1,聊城市经济开发区物流园区瑞泰路,798.53,1916.47,1182.1,3098.57
601,7.6,1,1,杭州市拱墅区半山街道河韵路8,242.87,582.89,1182.1,1764.99
602,7.6,1,1,萧山区萧山经济技术开发区桥南区块春水路,266.67,640.01,1182.1,1822.11
603,7.6,1,1,无锡市工艺路4,101.54,243.7,1182.1,1425.8
604,7.6,1,1,无锡市工艺路4,101.54,243.7,1182.1,1425.8
605,7.6,1,1,南京市江宁区秣陵街道殷华街47,235.38,564.91,1182.1,1747.01
606,7.6,1,1,南京市江宁区秣陵街道殷华街47,235.38,564.91,1182.1,1747.01
607,7.6,1,1,浙江省临海市汇丰南路29,423.18,1015.63,1182.1,2197.73
608,7.6,1,1,瓯海区潘桥街道仙门村浙江大好大食品有限公司楼（D幢）1-5层,545.26,1308.62,1182.1,2490.72
609,7.6,1,1,金华市金东区金园路2,395.25,948.6,1182.1,2130.7
610,7.6,1,1,义乌市香山路49,359.54,862.9,1182.1,2045.0
611,7.6,1,1,萧山区义桥镇罗幕村前黄28,276.11,662.66,1182.1,1844.76
612,7.6,1,1,宁波市江北区金山路36,277.0,664.8,1182.1,1846.9
613,7.6,1,1,丽水市大众街1,506.44,1215.46,1182.1,2397.56
614,7.6,2,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,7654.52
615,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
616,7.6,1,3,大连市甘井子区辛寨子镇小辛寨子村西沟2,966.21,2318.9,3546.3,5865.21
617,7.6,1,3,大连市甘井子区辛寨子镇小辛寨子村西沟2,966.21,2318.9,3546.3,5865.21
618,7.6,1,3,大连市甘井子区辛寨子镇小辛寨子村西沟2,966.21,2318.9,3546.3,5865.21
619,7.6,1,4,吉林省长春市长春新区北湖科技开发区北展街与天威路交汇处,1867.33,4481.59,4728.4,9209.99
620,7.6,1,4,吉林省长春市长春新区北湖科技开发区北展街与天威路交汇处,1867.33,4481.59,4728.4,9209.99
621,7.6,1,3,西安市经济技术开发区凤城七路中段8陕西省商业储存总公司B区西库,1292.59,3102.22,3546.3,6648.52
622,7.6,1,3,西安市经济技术开发区凤城七路中段8陕西省商业储存总公司B区西库,1292.59,3102.22,3546.3,6648.52
623,7.6,1,3,西安市经济技术开发区凤城七路中段8陕西省商业储存总公司B区西库,1292.59,3102.22,3546.3,6648.52
624,7.6,1,3,西安市经济技术开发区凤城七路中段8陕西省商业储存总公司B区西库,1292.59,3102.22,3546.3,6648.52
625,7.6,1,2,陕西省榆林市高新开发区富源路久旭物流园,1507.84,3618.82,2364.2,5983.02
626,7.6,1,3,西安市航天基地工业二路2911楼3层3-0,1299.89,3119.74,3546.3,6666.04
627,7.6,1,3,陕西省西咸新区沣东新城丰产路西段60号1区-库,1300.74,3121.78,3546.3,6668.08
628,7.6,1,3,西安市国际港务区港务大道36,1281.53,3075.67,3546.3,6621.97
629,7.6,1,3,西安市国际港务区港务大道36,1281.53,3075.67,3546.3,6621.97
630,7.6,1,3,西安市国际港务区港务大道36,1281.53,3075.67,3546.3,6621.97
631,7.6,1,3,兰州市城关区天水北路3113幢楼负1、2层，1幢楼负2层（正茂御景东方小区）,1900.19,4560.46,3546.3,8106.76
632,7.6,1,3,兰州市城关区天水北路3113幢楼负1、2层，1幢楼负2层（正茂御景东方小区）,1900.19,4560.46,3546.3,8106.76
633,7.6,1,3,兰州市城关区天水北路3113幢楼负1、2层，1幢楼负2层（正茂御景东方小区）,1900.19,4560.46,3546.3,8106.76
634,7.6,1,3,银川市西夏区文昌南路西夏国际公铁物流城,1791.42,4299.41,3546.3,7845.71
635,7.6,1,4,"兰州市七里河区西津西路42(一楼231,23库,地下负一层22库)",1912.94,4591.06,4728.4,9319.46
636,7.6,3,4,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,4728.4,41577.68
637,7.6,1,4,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,4728.4,13859.23
638,7.6,1,4,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,4728.4,13859.23
639,7.6,1,4,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,4728.4,13859.23
640,7.6,1,4,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,4728.4,13859.23
641,7.6,1,4,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,4728.4,13859.23
642,7.6,1,4,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,4728.4,13859.23
643,7.6,1,3,北京市北京经济技术开发区康定街,1080.0,2592.0,3546.3,6138.3
644,7.6,1,3,北京市北京经济技术开发区康定街,1080.0,2592.0,3546.3,6138.3
645,7.6,1,1,青岛市市北区开封路8楼1、2层,594.27,1426.25,1182.1,2608.35
646,7.6,1,1,青岛市市北区开封路8楼1、2层,594.27,1426.25,1182.1,2608.35
647,7.6,1,1,青岛市市北区傍海南路库1-门,596.01,1430.42,1182.1,2612.52
648,7.6,1,1,青岛市市北区傍海南路库1-门,596.01,1430.42,1182.1,2612.52
649,7.6,1,1,青岛市市北区傍海南路库1-门,596.01,1430.42,1182.1,2612.52
650,7.6,1,1,青岛市市北区傍海南路库1-门,596.01,1430.42,1182.1,2612.52
651,7.6,1,1,青岛市市北区傍海南路库1-门,596.01,1430.42,1182.1,2612.52
652,7.6,1,1,青岛市市北区傍海南路库1-门,596.01,1430.42,1182.1,2612.52
653,7.6,1,1,济南市市中区党家街道办事处罗而村东北150米处,739.35,1774.44,1182.1,2956.54
654,7.6,1,1,济南市市中区党家街道办事处罗而村东北150米处,739.35,1774.44,1182.1,2956.54
655,7.6,1,1,天津市南开区白堤路,968.24,2323.78,1182.1,3505.88
656,7.6,1,1,天津市南开区白堤路,968.24,2323.78,1182.1,3505.88
657,9.6,1,2,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,3378.6,2365.49,5744.09
658,9.6,1,2,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,3378.6,2365.49,5744.09
659,9.6,1,2,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,3378.6,2365.49,5744.09
660,7.6,1,1,郑州市货站街14,825.16,1980.38,1182.1,3162.48
661,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
662,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
663,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
664,7.6,1,2,太原市双塔寺街1,1208.58,2900.59,2364.2,5264.79
665,7.6,1,2,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,2364.2,5304.2
666,7.6,1,2,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,2364.2,5304.2
667,7.6,1,2,山西综改示范区太原唐槐园区龙盛街,1225.0,2940.0,2364.2,5304.2
668,7.6,1,1,宁波市江北区金山路36,277.0,664.8,1182.1,1846.9
669,7.6,1,1,宁波市江北区金山路36,277.0,664.8,1182.1,1846.9
670,7.6,2,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,3514.57
671,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
672,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
673,7.6,1,1,杭州市经济技术开发区白杨街道1大街32,239.66,575.18,1182.1,1757.28
674,7.6,1,2,西安市三桥镇建章路18库、库,1300.58,3121.39,2364.2,5485.59
675,7.6,1,2,陕西汉中客车有限公司二车间,1502.7,3606.48,2364.2,5970.68
676,7.6,1,3,青海生物科技产业园区经二路4,2129.26,5110.22,3546.3,8656.53
677,7.6,1,3,青海生物科技产业园区经二路4,2129.26,5110.22,3546.3,8656.53
678,7.6,1,1,江西省南昌市高新技术产业开发区火炬大街62综合办公大楼东面1-3楼,774.06,1857.74,1182.1,3039.84
679,7.6,1,1,南昌经济技术开发区玉屏西大街,786.4,1887.36,1182.1,3069.46
680,7.6,1,1,南昌经济技术开发区玉屏西大街,786.4,1887.36,1182.1,3069.46
681,7.6,2,1,上海市康宁路108,119.27,286.25,1182.1,2936.7
682,7.6,1,1,上海市康宁路108,119.27,286.25,1182.1,1468.35
683,7.6,1,1,上海市康宁路108,119.27,286.25,1182.1,1468.35
684,7.6,1,1,上海市康宁路108,119.27,286.25,1182.1,1468.35
685,7.6,1,1,郑州经济技术开发区第九大街8,822.57,1974.17,1182.1,3156.27
686,7.6,1,1,郑州市经济技术开发区花马东街12普洛斯郑州物流园,823.53,1976.47,1182.1,3158.57
687,7.6,1,1,郑州市经济技术开发区花马东街12普洛斯郑州物流园,823.53,1976.47,1182.1,3158.57
688,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
689,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
690,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
691,7.6,1,1,郑州市经济技术开发区经南五路18,822.44,1973.86,1182.1,3155.96
692,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
693,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
694,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
695,7.6,1,2,北京市顺义区机场北街10号院5幢,1113.11,2671.46,2364.2,5035.66
696,7.6,1,2,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,2364.2,5067.08
