序号,车型,车数,天数,目的地,距离_km,行驶费,时间费,单次总费
200,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
201,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
202,7.6,1,1,天津市南开区白堤路,968.24,2323.78,1182.1,3505.88
203,7.6,1,1,天津市南开区白堤路,968.24,2323.78,1182.1,3505.88
204,7.6,1,1,天津市南开区白堤路,968.24,2323.78,1182.1,3505.88
205,7.6,1,1,天津市南开区白堤路,968.24,2323.78,1182.1,3505.88
206,7.6,1,1,天津市空港物流加工区东八道5,970.71,2329.7,1182.1,3511.8
207,7.6,1,1,江西省南昌市南莲路46,782.65,1878.36,1182.1,3060.46
208,7.6,1,1,江西省南昌市南莲路46,782.65,1878.36,1182.1,3060.46
209,7.6,1,1,江西省南昌市南莲路46,782.65,1878.36,1182.1,3060.46
210,7.6,1,1,南昌市高新开发区高新五路66创力大厦1-2层,772.76,1854.62,1182.1,3036.72
211,7.6,1,1,杭州市萧山区萧山经济技术开发区红垦农场垦辉五路库,251.38,603.31,1182.1,1785.41
212,7.6,1,2,西安市三桥镇建章路18库、库,1300.58,3121.39,2364.2,5485.59
213,7.6,1,2,西安市三桥镇建章路18库、库,1300.58,3121.39,2364.2,5485.59
214,7.6,1,2,兰州市城关区天水北路3113幢楼负1、2层，1幢楼负2层（正茂御景东方小区）,1900.19,4560.46,2364.2,6924.66
215,7.6,1,2,兰州市城关区天水北路3113幢楼负1、2层，1幢楼负2层（正茂御景东方小区）,1900.19,4560.46,2364.2,6924.66
216,7.6,1,2,呼和浩特市和林县盛乐园区盛乐北六街,1546.0,3710.4,2364.2,6074.6
217,7.6,1,2,呼和浩特市和林县盛乐园区盛乐北六街,1546.0,3710.4,2364.2,6074.6
218,7.6,1,2,呼和浩特市和林县盛乐园区盛乐北六街,1546.0,3710.4,2364.2,6074.6
219,7.6,2,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,3494.17
220,7.6,1,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,1747.08
221,7.6,1,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,1747.08
222,7.6,1,1,杭州市拱墅区康乐路,235.41,564.98,1182.1,1747.08
223,7.6,1,1,郑州市经济技术开发区花马东街12普洛斯郑州物流园,823.53,1976.47,1182.1,3158.57
224,7.6,1,1,郑州市经济技术开发区花马东街12普洛斯郑州物流园,823.53,1976.47,1182.1,3158.57
225,7.6,1,1,郑州市经济技术开发区花马东街12普洛斯郑州物流园,823.53,1976.47,1182.1,3158.57
226,7.6,1,1,杭州市拱墅区半山街道河韵路8,242.87,582.89,1182.1,1764.99
227,7.6,1,1,杭州市拱墅区半山街道河韵路8,242.87,582.89,1182.1,1764.99
228,7.6,1,1,杭州市拱墅区半山街道河韵路8,242.87,582.89,1182.1,1764.99
229,7.6,1,1,衢州市中粮路3,468.35,1124.04,1182.1,2306.14
230,7.6,1,1,衢州市中粮路3,468.35,1124.04,1182.1,2306.14
231,7.6,1,1,衢州市中粮路3,468.35,1124.04,1182.1,2306.14
232,7.6,1,1,衢州市中粮路3,468.35,1124.04,1182.1,2306.14
233,7.6,1,1,浙江省温岭市太平街道太平南路19,482.83,1158.79,1182.1,2340.89
234,7.6,1,1,浙江省温岭市太平街道太平南路19,482.83,1158.79,1182.1,2340.89
235,7.6,1,1,浙江省温岭市太平街道太平南路19,482.83,1158.79,1182.1,2340.89
236,7.6,1,1,浙江省温岭市太平街道太平南路19,482.83,1158.79,1182.1,2340.89
237,7.6,2,1,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,1182.1,3539.96
238,7.6,1,1,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,1182.1,1769.98
239,7.6,1,1,南京市江宁区秣陵街道将军大道132幢、3幢,244.95,587.88,1182.1,1769.98
240,7.6,1,1,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,1182.1,3884.98
241,7.6,1,1,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,1182.1,3884.98
242,7.6,1,1,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,1182.1,3884.98
243,7.6,1,1,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,1182.1,3884.98
244,7.6,1,1,北京市石景山区双峪路4（爱玛裕物流工业园）（委托储存配送）,1126.2,2702.88,1182.1,3884.98
245,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
246,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
247,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
248,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
249,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
250,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
251,7.6,1,1,北京市西城区广外马连道东街1,1102.15,2645.16,1182.1,3827.26
252,7.6,1,1,北京市朝阳区黑庄户大东路1,1080.89,2594.14,1182.1,3776.24
253,7.6,1,1,北京市朝阳区黑庄户大东路1,1080.89,2594.14,1182.1,3776.24
254,7.6,1,4,哈尔滨市利民开发区益盛路8三层A区、B区,2124.62,5099.09,4728.4,9827.49
255,7.6,1,4,哈尔滨市香坊区安通九道街1院内19栋库一层、23栋三楼东侧,2098.89,5037.34,4728.4,9765.74
256,7.6,1,65,哈尔滨市道里区安道街51-2单元地下室,2102.08,5044.99,76836.53,81881.52
257,7.6,1,3,盘锦市兴隆台区环城东路西工业园厂房,1437.37,3449.69,3546.3,6995.99
258,7.6,1,4,哈尔滨市哈南工业新城春晖路,2084.27,5002.25,4728.4,9730.65
259,7.6,1,4,哈尔滨市松北区松北大道8,2120.18,5088.43,4728.4,9816.83
260,7.6,1,3,西安市国际港务区港务大道36,1281.53,3075.67,3546.3,6621.97
261,7.6,1,3,西安市国际港务区港务大道36,1281.53,3075.67,3546.3,6621.97
262,7.6,1,3,西安市国际港务区港务大道36,1281.53,3075.67,3546.3,6621.97
263,7.6,1,3,西安市国际港务区港务大道36,1281.53,3075.67,3546.3,6621.97
264,7.6,1,3,太原市五龙口南街东华苑桐荫A段,1209.56,2902.94,3546.3,6449.25
265,7.6,1,3,陕西省榆林市高新开发区富源路久旭物流园,1507.84,3618.82,3546.3,7165.12
266,7.6,1,3,陕西省榆林市高新开发区富源路久旭物流园,1507.84,3618.82,3546.3,7165.12
267,7.6,1,4,青海生物科技产业园区经二路4,2129.26,5110.22,4728.4,9838.63
268,7.6,1,4,青海生物科技产业园区经二路4,2129.26,5110.22,4728.4,9838.63
269,7.6,1,5,新疆乌鲁木齐市沙依巴克区西山西街6（面积：6091平方米）,3822.7,9174.48,5910.5,15084.98
270,7.6,1,1,南京市江宁区开源路28,232.49,557.98,1182.1,1740.08
271,7.6,1,1,南京市江宁区开源路28,232.49,557.98,1182.1,1740.08
272,7.6,1,1,南京市浦口区浦东北路,243.53,584.47,1182.1,1766.57
273,7.6,1,1,南京市浦口区浦东北路,243.53,584.47,1182.1,1766.57
274,7.6,1,1,南京市浦口区浦东北路,243.53,584.47,1182.1,1766.57
